AGRMNT_ID,EFFECTIVE_START_DT,EFFECTIVE_END_DT,AGRMNT_OPEN_DT,AGRMNT_CLOSE_DT,AGRMNT_TYP_CD,AGRMNT_SBTYP_CD,AGRMNT_ORIG_LIM,AGRMNT_PURP_CD
AGR000088,2021-06-04,,2021-06-04,2023-10-12,LON,RCF,1000000.0,WORKCAP
AGR000089,2021-06-04,,2021-06-04,2041-05-30,MTG,RCF,750000.0,PROPERTY
AGR000090,2021-03-25,,2021-03-25,,DEP,CUR,,GENERAL
AGR000091,2021-03-25,,2021-03-25,2024-06-22,ODR,TLN,250000.0,PROPERTY
AGR000092,2021-03-25,,2021-03-25,2041-03-20,MTG,RCF,250000.0,PROPERTY
AGR000093,2021-04-26,,2021-04-26,,DEP,CUR,,GENERAL
AGR000094,2021-04-26,,2021-04-26,2041-04-21,MTG,RCF,250000.0,PROPERTY
AGR000095,2020-08-13,,2020-08-13,,DEP,CUR,,GENERAL
AGR000096,2020-08-13,,2020-08-13,2025-02-23,ODR,TLN,250000.0,REFIN
AGR000097,2020-12-26,,2020-12-26,,DEP,CUR,,GENERAL
AGR000098,2020-12-26,,2020-12-26,2026-05-28,LON,RCF,100000.0,WORKCAP
AGR000099,2021-02-14,,2021-02-14,,DEP,CUR,,GENERAL
AGR000100,2021-07-29,,2021-07-29,,DEP,CUR,,GENERAL
AGR000101,2021-07-29,,2021-07-29,2024-07-24,LON,RCF,1000000.0,TRADE
AGR000102,2022-03-07,,2022-03-07,,DEP,CUR,,GENERAL
AGR000103,2021-08-13,,2021-08-13,,DEP,CUR,,GENERAL
AGR000104,2021-01-01,,2021-01-01,,DEP,CUR,,GENERAL
AGR000105,2021-01-01,,2021-01-01,2025-08-17,ODR,TLN,1000000.0,PROPERTY
AGR000106,2021-03-16,,2021-03-16,,DEP,CUR,,GENERAL
AGR000107,2021-03-16,,2021-03-16,2041-03-11,MTG,RCF,250000.0,PROPERTY
AGR000108,2020-09-13,,2020-09-13,,DEP,CUR,,GENERAL
AGR000109,2020-09-13,,2020-09-13,2040-09-08,MTG,RCF,750000.0,PROPERTY
AGR000110,2022-02-10,,2022-02-10,,DEP,CUR,,GENERAL
AGR000111,2022-02-10,,2022-02-10,2042-02-05,MTG,RCF,500000.0,PROPERTY
AGR000112,2021-06-30,,2021-06-30,,DEP,CUR,,GENERAL
AGR000113,2021-06-08,,2021-06-08,,DEP,CUR,,GENERAL
AGR000114,2021-06-08,,2021-06-08,2025-10-21,ODR,TLN,500000.0,TRADE
AGR000115,2020-10-14,,2020-10-14,,DEP,CUR,,GENERAL
AGR000116,2020-10-14,,2020-10-14,2024-08-29,LON,RCF,250000.0,CAPEX
AGR000117,2021-07-22,,2021-07-22,,DEP,CUR,,GENERAL
AGR000118,2021-07-22,,2021-07-22,2026-05-16,LON,RCF,250000.0,GENERAL
AGR000119,2021-01-08,,2021-01-08,,DEP,CUR,,GENERAL
AGR000120,2022-01-01,,2022-01-01,,DEP,CUR,,GENERAL
AGR000121,2022-01-01,,2022-01-01,2041-12-27,MTG,RCF,500000.0,PROPERTY
AGR000122,2020-10-01,,2020-10-01,,DEP,CUR,,GENERAL
AGR000123,2020-10-01,,2020-10-01,2024-12-16,LON,RCF,250000.0,TRADE
AGR000124,2021-03-30,,2021-03-30,,DEP,CUR,,GENERAL
AGR000125,2021-03-30,,2021-03-30,2023-06-25,LON,RCF,1000000.0,GENERAL
AGR000126,2020-09-05,,2020-09-05,,DEP,CUR,,GENERAL
AGR000127,2021-02-28,,2021-02-28,,DEP,CUR,,GENERAL
AGR000128,2021-02-28,,2021-02-28,2023-08-12,ODR,TLN,1000000.0,TRADE
AGR000129,2022-03-10,,2022-03-10,,DEP,CUR,,GENERAL
AGR000130,2021-09-01,,2021-09-01,,DEP,CUR,,GENERAL
AGR000131,2021-09-01,,2021-09-01,2024-03-05,LON,RCF,1000000.0,TRADE
AGR000132,2021-09-01,,2021-09-01,2041-08-27,MTG,RCF,250000.0,PROPERTY
AGR000133,2020-12-05,,2020-12-05,,DEP,CUR,,GENERAL
AGR000134,2022-02-23,,2022-02-23,,DEP,CUR,,GENERAL
AGR000135,2022-02-23,,2022-02-23,2024-08-03,ODR,TLN,250000.0,WORKCAP
AGR000136,2020-09-07,,2020-09-07,,DEP,CUR,,GENERAL
AGR000137,2020-09-07,,2020-09-07,2025-02-26,LON,RCF,250000.0,TRADE
AGR000138,2020-11-22,,2020-11-22,,DEP,CUR,,GENERAL
AGR000139,2021-08-24,,2021-08-24,,DEP,CUR,,GENERAL
AGR000140,2021-08-24,,2021-08-24,2024-08-10,LON,RCF,100000.0,REFIN
AGR000141,2021-08-24,,2021-08-24,2041-08-19,MTG,RCF,750000.0,PROPERTY
AGR000142,2021-09-01,,2021-09-01,,DEP,CUR,,GENERAL
AGR000143,2020-10-15,,2020-10-15,,DEP,CUR,,GENERAL
AGR000144,2020-10-15,,2020-10-15,2022-09-17,LON,RCF,100000.0,GENERAL
AGR000145,2021-11-13,,2021-11-13,,DEP,CUR,,GENERAL
AGR000146,2021-11-13,,2021-11-13,2026-06-30,LON,RCF,250000.0,PROPERTY
AGR000147,2021-01-05,,2021-01-05,,DEP,CUR,,GENERAL
AGR000148,2020-10-25,,2020-10-25,,DEP,CUR,,GENERAL
AGR000149,2020-10-25,,2020-10-25,2024-03-04,LON,RCF,250000.0,REFIN
AGR000150,2020-12-14,,2020-12-14,,DEP,CUR,,GENERAL
AGR000151,2022-05-01,,2022-05-01,,DEP,CUR,,GENERAL
AGR000152,2022-05-01,,2022-05-01,2024-07-15,ODR,TLN,1000000.0,CAPEX
AGR000153,2022-05-01,,2022-05-01,2042-04-26,MTG,RCF,500000.0,PROPERTY
AGR000154,2021-10-22,,2021-10-22,,DEP,CUR,,GENERAL
AGR000155,2021-10-22,,2021-10-22,2024-12-26,LON,RCF,100000.0,REFIN
AGR000156,2020-09-20,,2020-09-20,,DEP,CUR,,GENERAL
AGR000157,2020-09-20,,2020-09-20,2024-05-09,ODR,TLN,250000.0,GENERAL
AGR000158,2022-01-22,,2022-01-22,,DEP,CUR,,GENERAL
AGR000159,2020-09-25,,2020-09-25,,DEP,CUR,,GENERAL
AGR000160,2020-09-25,,2020-09-25,2023-09-13,LON,RCF,250000.0,WORKCAP
AGR000161,2021-08-03,,2021-08-03,,DEP,CUR,,GENERAL
AGR000162,2021-08-03,,2021-08-03,2041-07-29,MTG,RCF,750000.0,PROPERTY
AGR000163,2021-01-27,,2021-01-27,,DEP,CUR,,GENERAL
AGR000164,2021-01-27,,2021-01-27,2026-06-15,ODR,TLN,250000.0,PROPERTY
AGR000165,2021-09-18,,2021-09-18,,DEP,CUR,,GENERAL
AGR000166,2021-09-18,,2021-09-18,2024-01-09,ODR,TLN,100000.0,TRADE
AGR000167,2022-02-10,,2022-02-10,,DEP,CUR,,GENERAL
AGR000168,2022-02-10,,2022-02-10,2026-04-04,LON,RCF,1000000.0,WORKCAP
AGR000169,2022-02-10,,2022-02-10,2042-02-05,MTG,RCF,500000.0,PROPERTY
AGR000170,2020-09-29,,2020-09-29,,DEP,CUR,,GENERAL
AGR000171,2021-08-28,,2021-08-28,,DEP,CUR,,GENERAL
AGR000172,2021-05-06,,2021-05-06,,DEP,CUR,,GENERAL
AGR000173,2021-01-16,,2021-01-16,,DEP,CUR,,GENERAL
AGR000174,2021-01-16,,2021-01-16,2041-01-11,MTG,RCF,250000.0,PROPERTY
AGR000175,2020-11-01,,2020-11-01,,DEP,CUR,,GENERAL
AGR000176,2020-11-01,,2020-11-01,2025-07-02,ODR,TLN,1000000.0,TRADE
AGR000177,2022-03-15,,2022-03-15,,DEP,CUR,,GENERAL
AGR000178,2021-01-28,,2021-01-28,,DEP,CUR,,GENERAL
AGR000179,2021-03-07,,2021-03-07,,DEP,CUR,,GENERAL
AGR000180,2021-10-27,,2021-10-27,,DEP,CUR,,GENERAL
AGR000181,2021-10-27,,2021-10-27,2026-03-23,ODR,TLN,250000.0,CAPEX
AGR000182,2021-03-14,,2021-03-14,,DEP,CUR,,GENERAL
AGR000183,2021-10-22,,2021-10-22,,DEP,CUR,,GENERAL
AGR000184,2021-10-22,,2021-10-22,2026-06-10,ODR,TLN,100000.0,REFIN
AGR000185,2021-07-03,,2021-07-03,,DEP,CUR,,GENERAL
AGR000186,2021-07-03,,2021-07-03,2025-01-11,LON,RCF,100000.0,GENERAL
AGR000187,2022-02-07,,2022-02-07,,DEP,CUR,,GENERAL
AGR000188,2022-02-07,,2022-02-07,2026-06-30,ODR,TLN,250000.0,PROPERTY
AGR000189,2020-08-15,,2020-08-15,,DEP,CUR,,GENERAL
AGR000190,2020-08-15,,2020-08-15,2023-11-10,ODR,TLN,250000.0,REFIN
AGR000191,2022-04-11,,2022-04-11,,DEP,CUR,,GENERAL
AGR000192,2022-04-11,,2022-04-11,2026-04-26,ODR,TLN,500000.0,CAPEX
AGR000193,2021-03-11,,2021-03-11,,DEP,CUR,,GENERAL
AGR000194,2021-03-11,,2021-03-11,2026-06-19,ODR,TLN,500000.0,WORKCAP
AGR000195,2021-12-01,,2021-12-01,,DEP,CUR,,GENERAL
AGR000196,2021-02-21,,2021-02-21,,DEP,CUR,,GENERAL
AGR000197,2022-01-28,,2022-01-28,,DEP,CUR,,GENERAL
AGR000198,2022-02-24,,2022-02-24,,DEP,CUR,,GENERAL
AGR000199,2022-02-24,,2022-02-24,2025-01-18,ODR,TLN,100000.0,GENERAL
AGR000200,2021-03-09,,2021-03-09,,DEP,CUR,,GENERAL
AGR000201,2021-09-10,,2021-09-10,,DEP,CUR,,GENERAL
AGR000202,2021-09-10,,2021-09-10,2025-08-03,LON,RCF,250000.0,REFIN
AGR000203,2020-12-28,,2020-12-28,,DEP,CUR,,GENERAL
AGR000204,2020-12-28,,2020-12-28,2026-06-17,ODR,TLN,250000.0,REFIN
AGR000205,2022-03-18,,2022-03-18,,DEP,CUR,,GENERAL
AGR000206,2022-03-18,,2022-03-18,2026-04-13,LON,RCF,250000.0,WORKCAP
AGR000207,2021-07-23,,2021-07-23,,DEP,CUR,,GENERAL
AGR000208,2021-07-23,,2021-07-23,2023-11-18,LON,RCF,100000.0,CAPEX
AGR000209,2021-07-10,,2021-07-10,,DEP,CUR,,GENERAL
AGR000210,2021-07-10,,2021-07-10,2025-06-09,LON,RCF,100000.0,CAPEX
AGR000211,2021-03-06,,2021-03-06,,DEP,CUR,,GENERAL
AGR000212,2021-09-23,,2021-09-23,,DEP,CUR,,GENERAL
AGR000213,2020-09-15,,2020-09-15,,DEP,CUR,,GENERAL
AGR000214,2020-09-15,,2020-09-15,2025-06-16,LON,RCF,250000.0,PROPERTY
AGR000215,2020-09-15,,2020-09-15,2040-09-10,MTG,RCF,750000.0,PROPERTY
AGR000216,2021-11-18,,2021-11-18,,DEP,CUR,,GENERAL
AGR000217,2021-11-18,,2021-11-18,2041-11-13,MTG,RCF,500000.0,PROPERTY
AGR000218,2021-11-15,,2021-11-15,,DEP,CUR,,GENERAL
AGR000219,2021-07-12,,2021-07-12,,DEP,CUR,,GENERAL
AGR000220,2021-07-12,,2021-07-12,2024-02-29,LON,RCF,500000.0,REFIN
AGR000221,2021-01-10,,2021-01-10,,DEP,CUR,,GENERAL
AGR000222,2021-01-10,,2021-01-10,2023-02-17,ODR,TLN,100000.0,REFIN
AGR000223,2021-10-16,,2021-10-16,,DEP,CUR,,GENERAL
AGR000224,2021-10-03,,2021-10-03,,DEP,CUR,,GENERAL
AGR000225,2021-09-28,,2021-09-28,,DEP,CUR,,GENERAL
AGR000226,2021-09-28,,2021-09-28,2024-05-16,LON,RCF,250000.0,WORKCAP
AGR000227,2020-09-10,,2020-09-10,,DEP,CUR,,GENERAL
AGR000228,2021-09-29,,2021-09-29,,DEP,CUR,,GENERAL
AGR000229,2021-12-24,,2021-12-24,,DEP,CUR,,GENERAL
AGR000230,2021-12-24,,2021-12-24,2041-12-19,MTG,RCF,750000.0,PROPERTY
AGR000231,2021-09-17,,2021-09-17,,DEP,CUR,,GENERAL
AGR000232,2022-04-10,,2022-04-10,,DEP,CUR,,GENERAL
AGR000233,2022-04-10,,2022-04-10,2025-04-26,ODR,TLN,1000000.0,TRADE
AGR000234,2022-04-04,,2022-04-04,,DEP,CUR,,GENERAL
AGR000235,2022-04-04,,2022-04-04,2024-10-17,LON,RCF,500000.0,REFIN
AGR000236,2020-08-10,,2020-08-10,,DEP,CUR,,GENERAL
AGR000237,2021-09-09,,2021-09-09,,DEP,CUR,,GENERAL
AGR000238,2021-09-19,,2021-09-19,,DEP,CUR,,GENERAL
AGR000239,2021-09-19,,2021-09-19,2026-06-30,ODR,TLN,1000000.0,PROPERTY
AGR000240,2021-12-30,,2021-12-30,,DEP,CUR,,GENERAL
AGR000241,2021-12-30,,2021-12-30,2024-01-15,ODR,TLN,100000.0,REFIN
AGR000242,2021-12-30,,2021-12-30,2041-12-25,MTG,RCF,250000.0,PROPERTY
AGR000243,2020-10-19,,2020-10-19,,DEP,CUR,,GENERAL
AGR000244,2020-09-07,,2020-09-07,,DEP,CUR,,GENERAL
AGR000245,2020-09-07,,2020-09-07,2025-07-19,LON,RCF,1000000.0,REFIN
AGR000246,2021-05-23,,2021-05-23,,DEP,CUR,,GENERAL
AGR000247,2021-05-23,,2021-05-23,2041-05-18,MTG,RCF,500000.0,PROPERTY
AGR000248,2020-08-07,,2020-08-07,,DEP,CUR,,GENERAL
AGR000249,2020-08-07,,2020-08-07,2040-08-02,MTG,RCF,250000.0,PROPERTY
AGR000250,2022-02-20,,2022-02-20,,DEP,CUR,,GENERAL
AGR000251,2022-02-20,,2022-02-20,2026-04-09,LON,RCF,1000000.0,REFIN
AGR000252,2021-11-04,,2021-11-04,,DEP,CUR,,GENERAL
AGR000253,2021-11-04,,2021-11-04,2025-07-06,LON,RCF,250000.0,CAPEX
AGR000254,2021-10-28,,2021-10-28,,DEP,CUR,,GENERAL
AGR000255,2021-01-11,,2021-01-11,,DEP,CUR,,GENERAL
AGR000256,2021-01-11,,2021-01-11,2024-11-06,ODR,TLN,100000.0,WORKCAP
AGR000257,2021-01-11,,2021-01-11,2041-01-06,MTG,RCF,500000.0,PROPERTY
AGR000258,2021-02-01,,2021-02-01,,DEP,CUR,,GENERAL
AGR000259,2021-02-01,,2021-02-01,2024-06-23,ODR,TLN,1000000.0,REFIN
AGR000260,2021-12-11,,2021-12-11,,DEP,CUR,,GENERAL
AGR000261,2021-12-11,,2021-12-11,2026-05-27,ODR,TLN,500000.0,WORKCAP
AGR000262,2021-12-11,,2021-12-11,2041-12-06,MTG,RCF,250000.0,PROPERTY
AGR000263,2021-06-10,,2021-06-10,,DEP,CUR,,GENERAL
AGR000264,2021-03-31,,2021-03-31,,DEP,CUR,,GENERAL
AGR000265,2021-03-31,,2021-03-31,2025-08-24,ODR,TLN,250000.0,WORKCAP
AGR000266,2022-01-05,,2022-01-05,,DEP,CUR,,GENERAL
AGR000267,2022-01-05,,2022-01-05,2025-03-04,LON,RCF,100000.0,CAPEX
AGR000268,2021-03-29,,2021-03-29,,DEP,CUR,,GENERAL
AGR000269,2021-03-29,,2021-03-29,2025-05-28,LON,RCF,100000.0,GENERAL
AGR000270,2021-03-29,,2021-03-29,2041-03-24,MTG,RCF,750000.0,PROPERTY
AGR000271,2022-04-28,,2022-04-28,,DEP,CUR,,GENERAL
AGR000272,2022-04-28,,2022-04-28,2024-08-28,LON,RCF,100000.0,PROPERTY
AGR000273,2021-09-26,,2021-09-26,,DEP,CUR,,GENERAL
AGR000274,2021-09-26,,2021-09-26,2024-03-06,ODR,TLN,1000000.0,CAPEX
AGR000275,2021-09-26,,2021-09-26,2041-09-21,MTG,RCF,500000.0,PROPERTY
AGR000276,2021-11-03,,2021-11-03,,DEP,CUR,,GENERAL
AGR000277,2021-01-16,,2021-01-16,,DEP,CUR,,GENERAL
AGR000278,2021-03-26,,2021-03-26,,DEP,CUR,,GENERAL
AGR000279,2021-02-23,,2021-02-23,,DEP,CUR,,GENERAL
AGR000280,2021-03-13,,2021-03-13,,DEP,CUR,,GENERAL
AGR000281,2021-06-16,,2021-06-16,,DEP,CUR,,GENERAL
AGR000282,2021-06-16,,2021-06-16,2025-11-26,ODR,TLN,100000.0,PROPERTY
AGR000283,2021-06-16,,2021-06-16,2041-06-11,MTG,RCF,250000.0,PROPERTY
AGR000284,2021-04-22,,2021-04-22,,DEP,CUR,,GENERAL
AGR000285,2021-04-22,,2021-04-22,2024-06-15,LON,RCF,1000000.0,GENERAL
AGR000286,2022-01-11,,2022-01-11,,DEP,CUR,,GENERAL
AGR000287,2020-09-27,,2020-09-27,,DEP,CUR,,GENERAL
AGR000288,2020-09-27,,2020-09-27,2026-06-20,ODR,TLN,250000.0,PROPERTY
AGR000289,2021-09-14,,2021-09-14,,DEP,CUR,,GENERAL
AGR000290,2021-09-14,,2021-09-14,2026-04-10,ODR,TLN,100000.0,CAPEX
AGR000291,2021-03-12,,2021-03-12,,DEP,CUR,,GENERAL
AGR000292,2021-05-08,,2021-05-08,,DEP,CUR,,GENERAL
AGR000293,2021-05-08,,2021-05-08,2023-06-11,ODR,TLN,1000000.0,GENERAL
AGR000294,2021-08-20,,2021-08-20,,DEP,CUR,,GENERAL
AGR000295,2021-08-20,,2021-08-20,2025-08-30,LON,RCF,1000000.0,PROPERTY
AGR000296,2021-02-07,,2021-02-07,,DEP,CUR,,GENERAL
AGR000297,2021-11-14,,2021-11-14,,DEP,CUR,,GENERAL
AGR000298,2021-11-14,,2021-11-14,2026-05-27,ODR,TLN,500000.0,CAPEX
AGR000299,2021-02-11,,2021-02-11,,DEP,CUR,,GENERAL
AGR000300,2020-08-10,,2020-08-10,,DEP,CUR,,GENERAL
AGR000301,2020-08-10,,2020-08-10,2025-07-02,ODR,TLN,250000.0,GENERAL
AGR000302,2020-10-27,,2020-10-27,,DEP,CUR,,GENERAL
AGR000303,2020-10-27,,2020-10-27,2024-06-18,LON,RCF,500000.0,TRADE
AGR000304,2021-01-11,,2021-01-11,,DEP,CUR,,GENERAL
AGR000305,2022-01-08,,2022-01-08,,DEP,CUR,,GENERAL
AGR000306,2020-11-27,,2020-11-27,,DEP,CUR,,GENERAL
AGR000307,2020-12-23,,2020-12-23,,DEP,CUR,,GENERAL
AGR000308,2020-10-24,,2020-10-24,,DEP,CUR,,GENERAL
AGR000309,2020-10-24,,2020-10-24,2025-05-28,LON,RCF,100000.0,PROPERTY
AGR000310,2022-01-18,,2022-01-18,,DEP,CUR,,GENERAL
AGR000311,2022-01-18,,2022-01-18,2025-10-04,LON,RCF,500000.0,TRADE
AGR000312,2020-11-03,,2020-11-03,,DEP,CUR,,GENERAL
AGR000313,2020-11-03,,2020-11-03,2023-07-01,LON,RCF,1000000.0,GENERAL
AGR000314,2020-11-03,,2020-11-03,2040-10-29,MTG,RCF,500000.0,PROPERTY
AGR000315,2020-09-19,,2020-09-19,,DEP,CUR,,GENERAL
AGR000316,2020-09-19,,2020-09-19,2040-09-14,MTG,RCF,500000.0,PROPERTY
AGR000317,2021-05-28,,2021-05-28,,DEP,CUR,,GENERAL
AGR000318,2021-05-28,,2021-05-28,2024-02-26,LON,RCF,100000.0,GENERAL
AGR000319,2022-02-18,,2022-02-18,,DEP,CUR,,GENERAL
AGR000320,2020-11-27,,2020-11-27,,DEP,CUR,,GENERAL
AGR000321,2020-11-27,,2020-11-27,2025-05-05,LON,RCF,500000.0,WORKCAP
AGR000322,2020-11-27,,2020-11-27,2040-11-22,MTG,RCF,750000.0,PROPERTY
AGR000323,2021-11-09,,2021-11-09,,DEP,CUR,,GENERAL
AGR000324,2021-11-09,,2021-11-09,2041-11-04,MTG,RCF,500000.0,PROPERTY
AGR000325,2021-11-09,,2021-11-09,,DEP,CUR,,GENERAL
AGR000326,2021-11-09,,2021-11-09,2025-10-07,LON,RCF,250000.0,WORKCAP
AGR000327,2021-05-13,,2021-05-13,,DEP,CUR,,GENERAL
AGR000328,2021-01-12,,2021-01-12,,DEP,CUR,,GENERAL
AGR000329,2021-01-12,,2021-01-12,2024-07-05,LON,RCF,100000.0,GENERAL
AGR000330,2020-09-02,,2020-09-02,,DEP,CUR,,GENERAL
AGR000331,2020-10-03,,2020-10-03,,DEP,CUR,,GENERAL
AGR000332,2020-10-03,,2020-10-03,2026-04-25,LON,RCF,1000000.0,WORKCAP
AGR000333,2021-07-15,,2021-07-15,,DEP,CUR,,GENERAL
