PRTY_ID,EFFECTIVE_START_DT,EFFECTIVE_END_DT,PRTY_TYP_CD,PRTY_SBTYP_CD,RSK_GRD_CD,RSK_GRD_VAL,RSK_GRD_DT,PRTY_SGMNT_CD,HIGH_RSK_CUST_IND,RLTNSHP_MGR_ID
PRTY00063,2020-12-01,2025-01-15,ORG,PUB,B,6,2020-12-01,MID,N,RM003
PRTY00063,2025-01-15,,ORG,PUB,CC,8,2025-01-15,MID,N,RM003
PRTY00064,2020-05-15,,ORG,COP,CCC,7,2020-05-15,SME,N,RM012
PRTY00065,2022-04-08,,ORG,PLC,B,6,2022-04-08,SME,N,RM013
PRTY00066,2021-07-16,,ORG,PRT,B,6,2021-07-16,SME,N,RM001
PRTY00067,2021-11-08,,ORG,LTD,BB,5,2021-11-08,MID,N,RM014
PRTY00068,2021-08-19,,ORG,PRT,CCC,7,2021-08-19,SME,N,RM017
PRTY00069,2021-02-04,,ORG,PRT,BB,5,2021-02-04,MID,N,RM006
PRTY00070,2021-12-06,,ORG,PUB,BBB,4,2021-12-06,MID,N,RM010
PRTY00071,2020-11-24,2022-12-10,ORG,PRT,BB,5,2020-11-24,SME,N,RM012
PRTY00071,2022-12-10,,ORG,PRT,CCC,7,2022-12-10,SME,N,RM012
PRTY00072,2020-02-17,,ORG,PRT,CCC,7,2020-02-17,SME,N,RM017
PRTY00073,2020-03-12,,ORG,PUB,B,6,2020-03-12,MID,N,RM004
PRTY00074,2020-12-11,,ORG,PLC,B,6,2020-12-11,SME,N,RM018
PRTY00075,2020-10-18,,ORG,PRT,B,6,2020-10-18,SME,N,RM002
PRTY00076,2020-12-26,2025-08-04,ORG,PLC,BB,5,2020-12-26,SME,N,RM014
PRTY00076,2025-08-04,,ORG,PLC,CCC,7,2025-08-04,SME,N,RM014
PRTY00077,2020-09-04,,ORG,PRT,BBB,4,2020-09-04,MID,N,RM018
PRTY00078,2020-04-10,,ORG,COP,CCC,7,2020-04-10,SME,N,RM019
PRTY00079,2021-09-01,,ORG,PLC,B,6,2021-09-01,SME,N,RM017
PRTY00080,2021-07-02,,ORG,PUB,CCC,7,2021-07-02,SME,N,RM019
PRTY00081,2020-12-14,,ORG,PRT,B,6,2020-12-14,MID,N,RM013
PRTY00082,2020-02-24,,ORG,PUB,B,6,2020-02-24,MID,N,RM020
PRTY00083,2021-04-10,2024-10-31,ORG,PLC,B,6,2021-04-10,SME,N,RM003
PRTY00083,2024-10-31,,ORG,PLC,CCC,7,2024-10-31,SME,N,RM003
PRTY00084,2021-09-17,,ORG,PLC,BB,5,2021-09-17,MID,N,RM003
PRTY00085,2020-08-27,,ORG,COP,A,3,2020-08-27,LRGE,N,RM010
PRTY00086,2021-09-26,2025-02-16,ORG,PUB,BB,5,2021-09-26,LRGE,N,RM008
PRTY00086,2025-02-16,,ORG,PUB,B,6,2025-02-16,LRGE,N,RM008
PRTY00087,2020-12-05,2022-12-03,ORG,LTD,BB,5,2020-12-05,MID,N,RM019
PRTY00087,2022-12-03,,ORG,LTD,B,6,2022-12-03,MID,N,RM019
PRTY00088,2020-07-25,,ORG,LTD,CCC,7,2020-07-25,SME,N,RM011
PRTY00089,2022-05-27,,ORG,PLC,B,6,2022-05-27,SME,N,RM018
PRTY00090,2021-11-05,2025-02-21,ORG,PUB,B,6,2021-11-05,MID,N,RM007
PRTY00090,2025-02-21,,ORG,PUB,CC,8,2025-02-21,MID,N,RM007
PRTY00091,2020-05-25,2025-04-03,ORG,PRT,B,6,2020-05-25,MID,N,RM006
PRTY00091,2025-04-03,,ORG,PRT,CCC,7,2025-04-03,MID,N,RM006
PRTY00092,2021-03-19,,ORG,PLC,CCC,7,2021-03-19,SME,N,RM006
PRTY00093,2020-06-23,,ORG,COP,CCC,7,2020-06-23,SME,N,RM006
PRTY00094,2020-01-30,2022-11-05,ORG,COP,BB,5,2020-01-30,MID,N,RM003
PRTY00094,2022-11-05,,ORG,COP,B,6,2022-11-05,MID,N,RM003
PRTY00095,2021-04-27,2025-04-19,ORG,COP,A,3,2021-04-27,LRGE,N,RM020
PRTY00095,2025-04-19,,ORG,COP,BBB,4,2025-04-19,LRGE,N,RM020
PRTY00096,2021-04-28,,ORG,PUB,A,3,2021-04-28,INST,N,RM007
PRTY00097,2021-10-27,,ORG,PUB,B,6,2021-10-27,SME,N,RM002
PRTY00098,2020-11-13,2024-05-06,ORG,PRT,BBB,4,2020-11-13,MID,N,RM004
PRTY00098,2024-05-06,,ORG,PRT,B,6,2024-05-06,MID,N,RM004
PRTY00099,2022-02-08,,ORG,PLC,B,6,2022-02-08,SME,N,RM018
PRTY00100,2021-05-24,,ORG,PUB,B,6,2021-05-24,SME,N,RM006
PRTY00101,2020-05-31,,ORG,LTD,B,6,2020-05-31,SME,N,RM018
PRTY00102,2021-06-01,,ORG,PLC,BB,5,2021-06-01,SME,N,RM007
PRTY00103,2021-01-03,,ORG,COP,B,6,2021-01-03,SME,N,RM020
PRTY00104,2020-07-15,,ORG,PRT,BB,5,2020-07-15,SME,N,RM011
PRTY00105,2020-02-15,,ORG,PRT,B,6,2020-02-15,SME,N,RM003
PRTY00106,2021-03-19,,ORG,LTD,BB,5,2021-03-19,LRGE,N,RM002
PRTY00107,2021-07-01,2024-06-21,ORG,PUB,BBB,4,2021-07-01,MID,N,RM019
PRTY00107,2024-06-21,,ORG,PUB,B,6,2024-06-21,MID,N,RM019
PRTY00108,2021-09-29,2025-05-18,ORG,LTD,BB,5,2021-09-29,SME,N,RM010
PRTY00108,2025-05-18,,ORG,LTD,B,6,2025-05-18,SME,N,RM010
PRTY00109,2021-05-17,,ORG,PUB,CCC,7,2021-05-17,SME,N,RM011
PRTY00110,2020-12-25,,ORG,PRT,BB,5,2020-12-25,SME,N,RM009
PRTY00111,2021-05-05,,ORG,COP,BBB,4,2021-05-05,INST,N,RM007
PRTY00112,2021-06-28,2025-03-01,ORG,LTD,B,6,2021-06-28,MID,N,RM012
PRTY00112,2025-03-01,,ORG,LTD,CC,8,2025-03-01,MID,N,RM012
PRTY00113,2020-09-19,,ORG,PLC,B,6,2020-09-19,SME,N,RM007
PRTY00114,2020-06-01,2024-07-03,ORG,PRT,BB,5,2020-06-01,SME,N,RM019
PRTY00114,2024-07-03,,ORG,PRT,CCC,7,2024-07-03,SME,N,RM019
PRTY00115,2020-06-04,,ORG,COP,B,6,2020-06-04,SME,N,RM004
PRTY00116,2021-12-25,2024-12-31,ORG,LTD,BB,5,2021-12-25,SME,N,RM017
PRTY00116,2024-12-31,,ORG,LTD,B,6,2024-12-31,SME,N,RM017
PRTY00117,2020-01-16,2024-10-28,ORG,LTD,BB,5,2020-01-16,SME,N,RM018
PRTY00117,2024-10-28,,ORG,LTD,B,6,2024-10-28,SME,N,RM018
PRTY00118,2020-11-23,,ORG,COP,B,6,2020-11-23,MID,N,RM019
PRTY00119,2020-09-08,,ORG,LTD,CCC,7,2020-09-08,SME,N,RM010
PRTY00120,2021-04-07,,ORG,LTD,BBB,4,2021-04-07,MID,N,RM003
PRTY00121,2021-09-08,,ORG,PRT,BBB,4,2021-09-08,LRGE,N,RM001
PRTY00122,2021-02-23,,ORG,PUB,CCC,7,2021-02-23,SME,N,RM015
PRTY00123,2021-06-25,2023-04-04,ORG,LTD,B,6,2021-06-25,MID,N,RM010
PRTY00123,2023-04-04,,ORG,LTD,CCC,7,2023-04-04,MID,N,RM010
PRTY00124,2021-05-07,,ORG,PRT,BB,5,2021-05-07,LRGE,N,RM020
PRTY00125,2022-01-03,,ORG,COP,BB,5,2022-01-03,SME,N,RM008
PRTY00126,2021-04-11,,ORG,PRT,B,6,2021-04-11,MID,N,RM014
PRTY00127,2020-12-05,2025-07-29,ORG,PRT,BBB,4,2020-12-05,INST,N,RM011
PRTY00127,2025-07-29,,ORG,PRT,B,6,2025-07-29,INST,N,RM011
PRTY00128,2021-02-04,,ORG,PLC,B,6,2021-02-04,SME,N,RM011
PRTY00129,2020-06-16,,ORG,COP,CCC,7,2020-06-16,SME,N,RM006
PRTY00130,2022-04-26,,ORG,PUB,BB,5,2022-04-26,SME,N,RM011
PRTY00131,2021-08-22,,ORG,PUB,CCC,7,2021-08-22,SME,N,RM002
PRTY00132,2021-02-02,,ORG,PRT,BB,5,2021-02-02,SME,N,RM010
PRTY00133,2022-04-14,2024-01-03,ORG,PUB,CCC,7,2022-04-14,SME,Y,RM005
PRTY00133,2024-01-03,,ORG,PUB,C,9,2024-01-03,SME,Y,RM005
PRTY00134,2020-07-27,,ORG,LTD,BB,5,2020-07-27,MID,N,RM007
PRTY00135,2020-04-02,,ORG,LTD,CCC,7,2020-04-02,SME,N,RM005
PRTY00136,2021-03-10,2025-06-28,ORG,PRT,CCC,7,2021-03-10,SME,N,RM017
PRTY00136,2025-06-28,,ORG,PRT,C,9,2025-06-28,SME,N,RM017
PRTY00137,2021-10-22,,ORG,LTD,B,6,2021-10-22,MID,N,RM015
PRTY00138,2021-09-13,,ORG,PLC,B,6,2021-09-13,MID,N,RM004
PRTY00139,2020-05-08,,ORG,PLC,A,3,2020-05-08,LRGE,N,RM008
PRTY00140,2020-06-28,,ORG,COP,BB,5,2020-06-28,MID,N,RM016
PRTY00141,2022-02-17,,ORG,PRT,B,6,2022-02-17,SME,N,RM020
PRTY00142,2021-06-24,,ORG,LTD,BB,5,2021-06-24,SME,N,RM020
PRTY00143,2022-03-21,2022-11-01,ORG,LTD,BB,5,2022-03-21,SME,N,RM002
PRTY00143,2022-11-01,,ORG,LTD,B,6,2022-11-01,SME,N,RM002
PRTY00144,2021-08-06,,ORG,PUB,B,6,2021-08-06,MID,N,RM004
PRTY00145,2020-01-29,,ORG,LTD,CCC,7,2020-01-29,SME,N,RM011
PRTY00146,2020-04-01,,ORG,LTD,CCC,7,2020-04-01,SME,N,RM017
PRTY00147,2022-05-10,,ORG,LTD,BB,5,2022-05-10,MID,N,RM007
PRTY00148,2020-05-01,,ORG,LTD,B,6,2020-05-01,SME,N,RM001
PRTY00149,2020-11-25,,ORG,PRT,B,6,2020-11-25,MID,N,RM013
PRTY00150,2020-06-22,,ORG,PRT,BBB,4,2020-06-22,MID,N,RM001
PRTY00151,2021-08-27,,ORG,PLC,BB,5,2021-08-27,SME,N,RM010
PRTY00152,2021-05-20,,ORG,COP,CCC,7,2021-05-20,SME,Y,RM014
PRTY00153,2022-04-17,,ORG,LTD,BB,5,2022-04-17,SME,N,RM018
PRTY00154,2021-09-02,2025-01-05,ORG,LTD,CCC,7,2021-09-02,SME,N,RM001
PRTY00154,2025-01-05,,ORG,LTD,C,9,2025-01-05,SME,N,RM001
PRTY00155,2021-05-06,,ORG,LTD,BBB,4,2021-05-06,MID,N,RM020
PRTY00156,2022-05-30,,ORG,PLC,BB,5,2022-05-30,SME,N,RM008
PRTY00157,2021-10-04,,ORG,PRT,BB,5,2021-10-04,SME,N,RM005
PRTY00158,2020-05-30,,ORG,PRT,BB,5,2020-05-30,MID,N,RM002
PRTY00159,2020-05-10,,ORG,COP,BB,5,2020-05-10,SME,N,RM020
PRTY00160,2022-04-19,,ORG,PLC,BBB,4,2022-04-19,LRGE,N,RM001
PRTY00161,2021-08-27,2023-02-08,ORG,PUB,BB,5,2021-08-27,SME,N,RM012
PRTY00161,2023-02-08,,ORG,PUB,B,6,2023-02-08,SME,N,RM012
PRTY00162,2022-02-24,,ORG,PLC,BB,5,2022-02-24,SME,N,RM005
PRTY00163,2020-10-10,,ORG,PUB,B,6,2020-10-10,SME,Y,RM015
PRTY00164,2022-01-10,,ORG,LTD,B,6,2022-01-10,SME,N,RM015
PRTY00165,2021-02-01,,ORG,PRT,A,3,2021-02-01,LRGE,N,RM017
PRTY00166,2020-06-23,,ORG,PLC,CCC,7,2020-06-23,SME,N,RM017
PRTY00167,2021-03-09,2024-03-01,ORG,PUB,B,6,2021-03-09,SME,N,RM007
PRTY00167,2024-03-01,,ORG,PUB,CCC,7,2024-03-01,SME,N,RM007
PRTY00168,2022-05-15,,ORG,PUB,B,6,2022-05-15,SME,N,RM018
PRTY00169,2020-06-12,,ORG,LTD,B,6,2020-06-12,MID,N,RM018
PRTY00170,2022-01-26,2025-08-15,ORG,PRT,CCC,7,2022-01-26,SME,N,RM008
PRTY00170,2025-08-15,,ORG,PRT,CC,8,2025-08-15,SME,N,RM008
PRTY00171,2020-03-18,,ORG,PLC,CCC,7,2020-03-18,SME,N,RM017
PRTY00172,2020-04-11,,ORG,PLC,B,6,2020-04-11,SME,N,RM017
PRTY00173,2020-09-11,,ORG,PLC,B,6,2020-09-11,SME,N,RM005
PRTY00174,2020-06-03,,ORG,PLC,B,6,2020-06-03,MID,Y,RM002
PRTY00175,2020-06-01,,ORG,LTD,A,3,2020-06-01,LRGE,N,RM018
PRTY00176,2020-10-19,,ORG,LTD,CCC,7,2020-10-19,SME,N,RM009
PRTY00177,2022-01-21,2024-03-08,ORG,PLC,BBB,4,2022-01-21,INST,N,RM013
PRTY00177,2024-03-08,,ORG,PLC,B,6,2024-03-08,INST,N,RM013
PRTY00178,2021-06-11,,ORG,COP,B,6,2021-06-11,SME,N,RM017
PRTY00179,2021-04-19,2023-02-24,ORG,COP,BB,5,2021-04-19,MID,N,RM016
PRTY00179,2023-02-24,,ORG,COP,B,6,2023-02-24,MID,N,RM016
PRTY00180,2020-03-29,,ORG,PUB,B,6,2020-03-29,MID,N,RM001
PRTY00181,2020-11-16,,ORG,LTD,BB,5,2020-11-16,LRGE,N,RM011
PRTY00182,2020-07-19,2025-07-24,ORG,PUB,BB,5,2020-07-19,MID,N,RM015
PRTY00182,2025-07-24,,ORG,PUB,CCC,7,2025-07-24,MID,N,RM015
PRTY00183,2021-03-20,,ORG,PLC,B,6,2021-03-20,MID,N,RM019
PRTY00184,2020-01-31,,ORG,PUB,BB,5,2020-01-31,SME,N,RM007
PRTY00185,2020-12-02,,ORG,LTD,CCC,7,2020-12-02,SME,N,RM015
PRTY00186,2020-12-24,,ORG,PLC,BB,5,2020-12-24,SME,N,RM018
PRTY00187,2021-07-20,2024-02-02,ORG,LTD,BB,5,2021-07-20,SME,N,RM013
PRTY00187,2024-02-02,,ORG,LTD,CCC,7,2024-02-02,SME,N,RM013
PRTY00188,2020-02-21,2024-05-22,ORG,COP,BB,5,2020-02-21,SME,N,RM010
PRTY00188,2024-05-22,,ORG,COP,CCC,7,2024-05-22,SME,N,RM010
PRTY00189,2021-04-11,,ORG,LTD,CCC,7,2021-04-11,SME,N,RM005
PRTY00190,2021-10-18,,ORG,PLC,B,6,2021-10-18,SME,Y,RM017
PRTY00191,2020-10-23,,ORG,PRT,B,6,2020-10-23,MID,N,RM012
PRTY00192,2020-08-04,,ORG,PLC,BB,5,2020-08-04,SME,N,RM009
PRTY00193,2021-07-27,2026-03-26,ORG,PUB,BBB,4,2021-07-27,INST,N,RM001
PRTY00193,2026-03-26,,ORG,PUB,BB,5,2026-03-26,INST,N,RM001
PRTY00194,2022-03-08,,ORG,PRT,B,6,2022-03-08,SME,N,RM011
PRTY00195,2022-03-21,,ORG,LTD,B,6,2022-03-21,SME,N,RM017
PRTY00196,2020-08-30,,ORG,PUB,B,6,2020-08-30,SME,N,RM018
PRTY00197,2022-05-05,,ORG,COP,BB,5,2022-05-05,MID,N,RM015
PRTY00198,2020-04-12,,ORG,PLC,BB,5,2020-04-12,SME,N,RM005
PRTY00199,2020-11-11,,ORG,PRT,CCC,7,2020-11-11,SME,N,RM006
PRTY00200,2020-05-21,,ORG,PRT,BBB,4,2020-05-21,MID,N,RM009
PRTY00201,2021-08-15,,ORG,LTD,B,6,2021-08-15,SME,N,RM008
PRTY00202,2020-07-24,,ORG,PRT,A,3,2020-07-24,LRGE,N,RM009
PRTY00203,2020-06-12,2024-03-29,ORG,PLC,B,6,2020-06-12,SME,N,RM007
PRTY00203,2024-03-29,,ORG,PLC,CC,8,2024-03-29,SME,N,RM007
PRTY00204,2020-02-22,,ORG,PUB,CCC,7,2020-02-22,SME,N,RM012
PRTY00205,2020-05-01,,ORG,PLC,BB,5,2020-05-01,SME,N,RM016
PRTY00206,2020-12-18,,ORG,PRT,CCC,7,2020-12-18,SME,N,RM020
PRTY00207,2020-05-31,,ORG,PUB,B,6,2020-05-31,SME,N,RM019
PRTY00208,2022-01-18,,ORG,PRT,CCC,7,2022-01-18,SME,N,RM011
PRTY00209,2022-04-12,,ORG,COP,BB,5,2022-04-12,SME,N,RM007
PRTY00210,2021-11-28,,ORG,LTD,B,6,2021-11-28,MID,N,RM003
PRTY00211,2021-02-05,2026-05-21,ORG,LTD,B,6,2021-02-05,SME,N,RM009
PRTY00211,2026-05-21,,ORG,LTD,CCC,7,2026-05-21,SME,N,RM009
PRTY00212,2022-01-19,,ORG,PLC,B,6,2022-01-19,SME,N,RM013
PRTY00213,2021-06-05,,ORG,COP,CCC,7,2021-06-05,SME,N,RM018
PRTY00214,2021-04-15,,ORG,PRT,BB,5,2021-04-15,SME,N,RM006
PRTY00215,2020-01-25,,ORG,PUB,BBB,4,2020-01-25,MID,Y,RM001
PRTY00216,2020-08-17,,ORG,COP,BB,5,2020-08-17,LRGE,N,RM009
PRTY00217,2021-07-21,,ORG,PUB,B,6,2021-07-21,SME,N,RM002
PRTY00218,2021-01-28,,ORG,COP,CCC,7,2021-01-28,SME,N,RM005
PRTY00219,2021-12-18,,ORG,COP,CCC,7,2021-12-18,SME,N,RM003
PRTY00220,2022-02-11,,ORG,PLC,BB,5,2022-02-11,SME,N,RM019
PRTY00221,2021-09-08,2022-08-26,ORG,PLC,BB,5,2021-09-08,MID,N,RM004
PRTY00221,2022-08-26,,ORG,PLC,CCC,7,2022-08-26,MID,N,RM004
PRTY00222,2021-10-29,2025-12-01,ORG,LTD,BB,5,2021-10-29,LRGE,N,RM006
PRTY00222,2025-12-01,,ORG,LTD,CCC,7,2025-12-01,LRGE,N,RM006
PRTY00223,2021-09-29,,ORG,COP,BB,5,2021-09-29,SME,N,RM020
PRTY00224,2020-09-28,,ORG,COP,B,6,2020-09-28,SME,N,RM005
PRTY00225,2022-04-06,,ORG,LTD,BBB,4,2022-04-06,MID,N,RM017
PRTY00226,2022-05-11,,ORG,PUB,BB,5,2022-05-11,MID,N,RM010
PRTY00227,2021-12-29,,ORG,PUB,B,6,2021-12-29,SME,N,RM013
PRTY00228,2021-03-31,,ORG,PUB,CCC,7,2021-03-31,SME,N,RM016
PRTY00229,2020-02-21,,ORG,PUB,A,3,2020-02-21,LRGE,N,RM007
PRTY00230,2020-08-04,,ORG,COP,B,6,2020-08-04,MID,N,RM013
PRTY00231,2020-12-20,,ORG,COP,B,6,2020-12-20,SME,N,RM001
PRTY00232,2021-06-09,,ORG,LTD,B,6,2021-06-09,SME,N,RM010
PRTY00233,2021-07-17,,ORG,PLC,CCC,7,2021-07-17,SME,N,RM015
PRTY00234,2022-01-31,2023-01-07,ORG,LTD,BBB,4,2022-01-31,MID,N,RM004
PRTY00234,2023-01-07,,ORG,LTD,BB,5,2023-01-07,MID,N,RM004
PRTY00235,2020-02-29,,ORG,PLC,CCC,7,2020-02-29,SME,N,RM008
PRTY00236,2020-01-29,2024-10-31,ORG,COP,A,3,2020-01-29,LRGE,N,RM009
PRTY00236,2024-10-31,,ORG,COP,BBB,4,2024-10-31,LRGE,N,RM009
PRTY00237,2021-11-18,,ORG,COP,A,3,2021-11-18,LRGE,N,RM004
PRTY00238,2021-05-28,,ORG,LTD,BB,5,2021-05-28,SME,N,RM005
PRTY00239,2022-05-30,,ORG,PUB,B,6,2022-05-30,MID,N,RM009
PRTY00240,2020-09-05,,ORG,LTD,CCC,7,2020-09-05,SME,N,RM014
PRTY00241,2021-11-30,,ORG,PLC,B,6,2021-11-30,SME,N,RM004
PRTY00242,2020-06-07,,ORG,LTD,B,6,2020-06-07,MID,N,RM016
PRTY00243,2020-09-17,,ORG,PUB,BBB,4,2020-09-17,MID,N,RM014
PRTY00244,2020-04-27,2023-10-04,ORG,PRT,B,6,2020-04-27,SME,N,RM011
PRTY00244,2023-10-04,,ORG,PRT,CCC,7,2023-10-04,SME,N,RM011
PRTY00245,2021-11-15,,ORG,PLC,BB,5,2021-11-15,SME,N,RM009
PRTY00246,2020-11-10,2022-09-04,ORG,PLC,B,6,2020-11-10,SME,N,RM006
PRTY00246,2022-09-04,,ORG,PLC,CCC,7,2022-09-04,SME,N,RM006
PRTY00247,2021-02-04,2024-08-23,ORG,PRT,B,6,2021-02-04,MID,N,RM009
PRTY00247,2024-08-23,,ORG,PRT,CCC,7,2024-08-23,MID,N,RM009
PRTY00248,2021-10-20,,ORG,PRT,BB,5,2021-10-20,MID,N,RM015
