AGRMNT_ID,AGRMNT_DLY_BAL_STRT_DTTM,AGRMNT_LDGR_BAL_AMT,AGRMNT_BAL_CURY_CD
AGR000001,2022-10-06,134399.71,EUR
AGR000001,2022-10-13,134306.59,EUR
AGR000001,2022-10-20,134800.48,EUR
AGR000001,2022-10-27,131837.52,EUR
AGR000001,2022-11-03,126371.41,EUR
AGR000001,2022-11-10,126746.62,EUR
AGR000001,2022-11-17,127556.59,EUR
AGR000001,2022-11-24,130579.75,EUR
AGR000001,2022-12-01,134508.09,EUR
AGR000001,2022-12-08,138433.09,EUR
AGR000001,2022-12-15,135938.03,EUR
AGR000001,2022-12-22,135057.37,EUR
AGR000001,2022-12-29,136258.2,EUR
AGR000001,2023-01-05,142587.97,EUR
AGR000001,2023-01-12,146288.21,EUR
AGR000001,2023-01-19,149086.71,EUR
AGR000001,2023-01-26,148117.24,EUR
AGR000001,2023-02-02,145909.24,EUR
AGR000001,2023-02-09,147881.51,EUR
AGR000001,2023-02-16,145129.85,EUR
AGR000001,2023-02-23,144533.76,EUR
AGR000001,2023-03-02,144246.82,EUR
AGR000001,2023-03-09,148229.1,EUR
AGR000001,2023-03-16,147342.36,EUR
AGR000001,2023-03-23,141244.23,EUR
AGR000001,2023-03-30,142505.34,EUR
AGR000001,2023-04-06,140757.79,EUR
AGR000001,2023-04-13,140864.37,EUR
AGR000001,2023-04-20,140647.6,EUR
AGR000001,2023-04-27,139963.34,EUR
AGR000001,2023-05-04,141939.2,EUR
AGR000001,2023-05-11,138107.03,EUR
AGR000001,2023-05-18,136814.5,EUR
AGR000001,2023-05-25,138524.59,EUR
AGR000001,2023-06-01,136989.38,EUR
AGR000001,2023-06-08,132967.36,EUR
AGR000001,2023-06-15,134638.75,EUR
AGR000001,2023-06-22,137446.49,EUR
AGR000001,2023-06-29,137334.0,EUR
AGR000001,2023-07-06,132431.89,EUR
AGR000001,2023-07-13,134196.81,EUR
AGR000001,2023-07-20,130047.09,EUR
AGR000001,2023-07-27,130819.09,EUR
AGR000001,2023-08-03,128600.43,EUR
AGR000001,2023-08-10,125700.83,EUR
AGR000001,2023-08-17,124596.06,EUR
AGR000001,2023-08-24,124137.81,EUR
AGR000001,2023-08-31,122527.29,EUR
AGR000001,2023-09-07,123999.05,EUR
AGR000001,2023-09-14,122883.88,EUR
AGR000001,2023-09-21,125334.35,EUR
AGR000001,2023-09-28,126037.29,EUR
AGR000001,2023-10-05,124293.39,EUR
AGR000001,2023-10-12,122128.54,EUR
AGR000001,2023-10-19,118009.8,EUR
AGR000001,2023-10-26,118736.64,EUR
AGR000001,2023-11-02,117850.17,EUR
AGR000001,2023-11-09,111919.68,EUR
AGR000001,2023-11-16,110580.39,EUR
AGR000001,2023-11-23,108327.81,EUR
AGR000001,2023-11-30,112267.0,EUR
AGR000001,2023-12-07,108010.05,EUR
AGR000001,2023-12-14,104406.68,EUR
AGR000001,2023-12-21,107181.6,EUR
AGR000001,2023-12-28,110573.51,EUR
AGR000001,2024-01-04,108711.05,EUR
AGR000001,2024-01-11,107130.84,EUR
AGR000001,2024-01-18,108671.43,EUR
AGR000001,2024-01-25,102853.68,EUR
AGR000001,2024-02-01,98200.69,EUR
AGR000001,2024-02-08,97498.86,EUR
AGR000001,2024-02-15,101373.58,EUR
AGR000001,2024-02-22,100284.26,EUR
AGR000001,2024-02-29,100536.6,EUR
AGR000001,2024-03-07,103371.07,EUR
AGR000001,2024-03-14,108638.29,EUR
AGR000001,2024-03-21,107196.17,EUR
AGR000001,2024-03-28,107154.07,EUR
AGR000001,2024-04-04,111709.21,EUR
AGR000001,2024-04-11,107903.71,EUR
AGR000001,2024-04-18,110472.67,EUR
AGR000001,2024-04-25,107926.88,EUR
AGR000001,2024-05-02,108183.06,EUR
AGR000001,2024-05-09,107576.51,EUR
AGR000001,2024-05-16,105181.48,EUR
AGR000001,2024-05-23,102723.73,EUR
AGR000001,2024-05-30,103414.76,EUR
AGR000001,2024-06-06,105903.61,EUR
AGR000001,2024-06-13,105579.27,EUR
AGR000001,2024-06-20,105754.55,EUR
AGR000001,2024-06-27,107182.49,EUR
AGR000001,2024-07-04,104753.44,EUR
AGR000001,2024-07-11,106602.67,EUR
AGR000001,2024-07-18,108651.03,EUR
AGR000001,2024-07-25,115160.1,EUR
AGR000001,2024-08-01,114219.84,EUR
AGR000001,2024-08-08,113074.63,EUR
AGR000001,2024-08-15,114997.05,EUR
AGR000001,2024-08-22,117044.81,EUR
AGR000001,2024-08-29,115707.09,EUR
AGR000001,2024-09-05,114699.18,EUR
AGR000001,2024-09-12,116052.01,EUR
AGR000001,2024-09-19,113983.05,EUR
AGR000001,2024-09-26,112956.71,EUR
AGR000001,2024-10-03,113180.7,EUR
AGR000001,2024-10-10,115670.54,EUR
AGR000001,2024-10-17,114159.05,EUR
AGR000001,2024-10-24,109553.08,EUR
AGR000001,2024-10-31,104761.59,EUR
AGR000001,2024-11-07,101613.06,EUR
AGR000001,2024-11-14,98330.14,EUR
AGR000001,2024-11-21,97943.61,EUR
AGR000001,2024-11-28,94971.41,EUR
AGR000001,2024-12-05,93214.52,EUR
AGR000001,2024-12-12,91279.31,EUR
AGR000001,2024-12-19,90178.04,EUR
AGR000001,2024-12-26,93484.3,EUR
AGR000001,2025-01-02,95139.17,EUR
AGR000001,2025-01-09,95179.49,EUR
AGR000001,2025-01-16,94026.93,EUR
AGR000001,2025-01-23,92943.85,EUR
AGR000001,2025-01-30,93763.21,EUR
AGR000001,2025-02-06,95223.63,EUR
AGR000001,2025-02-13,92954.59,EUR
AGR000001,2025-02-20,93045.79,EUR
AGR000001,2025-02-27,87966.74,EUR
AGR000001,2025-03-06,88496.03,EUR
AGR000001,2025-03-13,90401.4,EUR
AGR000001,2025-03-20,89701.23,EUR
AGR000001,2025-03-27,94242.55,EUR
AGR000001,2025-04-03,92039.45,EUR
AGR000001,2025-04-10,92583.05,EUR
AGR000001,2025-04-17,92493.49,EUR
AGR000001,2025-04-24,92242.75,EUR
AGR000001,2025-05-01,91956.94,EUR
AGR000001,2025-05-08,92224.7,EUR
AGR000001,2025-05-15,94344.6,EUR
AGR000001,2025-05-22,97788.94,EUR
AGR000001,2025-05-29,97783.32,EUR
AGR000001,2025-06-05,99821.61,EUR
AGR000001,2025-06-12,98067.19,EUR
AGR000001,2025-06-19,99982.08,EUR
AGR000001,2025-06-26,98077.1,EUR
AGR000001,2025-07-03,100803.75,EUR
AGR000001,2025-07-10,106330.35,EUR
AGR000001,2025-07-17,106025.14,EUR
AGR000001,2025-07-24,100543.78,EUR
AGR000001,2025-07-31,99173.6,EUR
AGR000001,2025-08-07,102253.29,EUR
AGR000001,2025-08-14,103635.98,EUR
AGR000001,2025-08-21,104258.26,EUR
AGR000001,2025-08-28,106779.93,EUR
AGR000001,2025-09-04,107991.07,EUR
AGR000001,2025-09-11,111035.38,EUR
AGR000001,2025-09-18,113333.94,EUR
AGR000001,2025-09-25,117138.19,EUR
AGR000001,2025-10-02,118035.18,EUR
AGR000001,2025-10-09,120298.33,EUR
AGR000001,2025-10-16,119530.51,EUR
AGR000001,2025-10-23,118026.86,EUR
AGR000001,2025-10-30,122293.78,EUR
AGR000001,2025-11-06,122834.29,EUR
AGR000001,2025-11-13,124846.49,EUR
AGR000001,2025-11-20,125155.84,EUR
AGR000001,2025-11-27,123689.55,EUR
AGR000001,2025-12-04,123717.01,EUR
AGR000001,2025-12-11,127307.0,EUR
AGR000001,2025-12-18,128695.1,EUR
AGR000001,2025-12-25,124416.41,EUR
AGR000001,2026-01-01,123878.3,EUR
AGR000001,2026-01-08,128334.04,EUR
AGR000001,2026-01-15,127799.54,EUR
AGR000001,2026-01-22,123298.35,EUR
AGR000001,2026-01-29,128030.97,EUR
AGR000001,2026-02-05,129736.95,EUR
AGR000001,2026-02-12,129561.92,EUR
AGR000001,2026-02-19,128633.37,EUR
AGR000001,2026-02-26,131339.25,EUR
AGR000001,2026-03-05,129984.3,EUR
AGR000001,2026-03-12,132854.94,EUR
AGR000001,2026-03-19,134210.42,EUR
AGR000001,2026-03-26,134822.13,EUR
AGR000001,2026-04-02,135185.92,EUR
AGR000001,2026-04-09,134748.5,EUR
AGR000001,2026-04-16,137362.6,EUR
AGR000001,2026-04-23,135199.24,EUR
AGR000001,2026-04-30,131144.43,EUR
AGR000001,2026-05-07,132680.53,EUR
AGR000001,2026-05-14,134258.62,EUR
AGR000001,2026-05-21,135459.23,EUR
AGR000001,2026-05-28,136478.55,EUR
AGR000001,2026-06-04,135677.2,EUR
AGR000001,2026-06-11,137645.9,EUR
AGR000001,2026-06-18,137532.01,EUR
AGR000001,2026-06-25,136314.22,EUR
AGR000002,2022-06-30,330059.43,EUR
AGR000002,2022-07-07,323130.8,EUR
AGR000002,2022-07-14,325843.7,EUR
AGR000002,2022-07-21,330519.58,EUR
AGR000002,2022-07-28,335444.73,EUR
AGR000002,2022-08-04,336648.83,EUR
AGR000002,2022-08-11,336803.89,EUR
AGR000002,2022-08-18,341277.17,EUR
AGR000002,2022-08-25,347018.76,EUR
AGR000002,2022-09-01,350952.46,EUR
AGR000002,2022-09-08,347648.11,EUR
AGR000002,2022-09-15,348348.08,EUR
AGR000002,2022-09-22,349879.13,EUR
AGR000002,2022-09-29,343547.66,EUR
AGR000002,2022-10-06,345160.13,EUR
AGR000002,2022-10-13,353005.59,EUR
AGR000002,2022-10-20,355264.61,EUR
AGR000002,2022-10-27,360499.12,EUR
AGR000002,2022-11-03,361158.53,EUR
AGR000002,2022-11-10,360894.09,EUR
AGR000002,2022-11-17,362270.08,EUR
AGR000002,2022-11-24,359314.58,EUR
AGR000002,2022-12-01,355851.6,EUR
AGR000002,2022-12-08,360357.76,EUR
AGR000002,2022-12-15,365303.1,EUR
AGR000002,2022-12-22,361682.56,EUR
AGR000002,2022-12-29,365183.65,EUR
AGR000002,2023-01-05,364866.08,EUR
AGR000002,2023-01-12,366105.93,EUR
AGR000002,2023-01-19,367790.82,EUR
AGR000002,2023-01-26,371447.95,EUR
AGR000002,2023-02-02,371755.2,EUR
AGR000002,2023-02-09,376997.55,EUR
AGR000002,2023-02-16,378164.03,EUR
AGR000002,2023-02-23,380524.47,EUR
AGR000002,2023-03-02,377353.7,EUR
AGR000002,2023-03-09,385499.48,EUR
AGR000002,2023-03-16,387310.65,EUR
AGR000002,2023-03-23,390072.17,EUR
AGR000002,2023-03-30,383799.08,EUR
AGR000002,2023-04-06,380641.56,EUR
AGR000002,2023-04-13,385353.46,EUR
AGR000002,2023-04-20,386459.01,EUR
AGR000002,2023-04-27,379063.03,EUR
AGR000002,2023-05-04,382998.81,EUR
AGR000002,2023-05-11,380916.12,EUR
AGR000002,2023-05-18,386292.06,EUR
AGR000002,2023-05-25,385952.76,EUR
AGR000002,2023-06-01,386742.83,EUR
AGR000002,2023-06-08,391302.35,EUR
AGR000002,2023-06-15,387790.44,EUR
AGR000002,2023-06-22,383940.27,EUR
AGR000002,2023-06-29,383185.84,EUR
AGR000002,2023-07-06,386355.45,EUR
AGR000002,2023-07-13,381213.53,EUR
AGR000002,2023-07-20,374854.75,EUR
AGR000002,2023-07-27,377942.51,EUR
AGR000002,2023-08-03,375663.6,EUR
AGR000002,2023-08-10,374190.15,EUR
AGR000002,2023-08-17,367242.15,EUR
AGR000002,2023-08-24,364748.65,EUR
AGR000002,2023-08-31,364721.05,EUR
AGR000002,2023-09-07,368114.33,EUR
AGR000002,2023-09-14,365275.32,EUR
AGR000002,2023-09-21,371329.31,EUR
AGR000002,2023-09-28,368787.35,EUR
AGR000002,2023-10-05,366268.2,EUR
AGR000002,2023-10-12,371899.05,EUR
AGR000002,2023-10-19,372685.47,EUR
AGR000002,2023-10-26,370628.15,EUR
AGR000002,2023-11-02,370053.18,EUR
AGR000002,2023-11-09,375060.28,EUR
AGR000002,2023-11-16,380559.42,EUR
AGR000002,2023-11-23,377451.04,EUR
AGR000002,2023-11-30,377290.87,EUR
AGR000002,2023-12-07,377631.02,EUR
AGR000002,2023-12-14,373906.67,EUR
AGR000002,2023-12-21,373698.46,EUR
AGR000002,2023-12-28,373718.36,EUR
AGR000002,2024-01-04,377979.53,EUR
AGR000002,2024-01-11,382543.35,EUR
AGR000002,2024-01-18,381283.98,EUR
AGR000002,2024-01-25,380468.21,EUR
AGR000002,2024-02-01,382995.63,EUR
AGR000002,2024-02-08,380754.38,EUR
AGR000002,2024-02-15,382995.66,EUR
AGR000002,2024-02-22,382658.98,EUR
AGR000002,2024-02-29,378949.49,EUR
AGR000002,2024-03-07,375323.56,EUR
AGR000002,2024-03-14,380754.71,EUR
AGR000002,2024-03-21,380159.13,EUR
AGR000002,2024-03-28,386395.09,EUR
AGR000002,2024-04-04,384410.42,EUR
AGR000002,2024-04-11,385529.84,EUR
AGR000002,2024-04-18,394754.33,EUR
AGR000002,2024-04-25,390580.25,EUR
AGR000002,2024-05-02,383167.76,EUR
AGR000002,2024-05-09,388097.56,EUR
AGR000002,2024-05-16,384888.73,EUR
AGR000002,2024-05-23,384809.04,EUR
AGR000002,2024-05-30,382554.37,EUR
AGR000002,2024-06-06,383580.24,EUR
AGR000002,2024-06-13,379934.17,EUR
AGR000002,2024-06-20,379250.51,EUR
AGR000002,2024-06-27,380956.44,EUR
AGR000002,2024-07-04,377115.22,EUR
AGR000002,2024-07-11,374475.1,EUR
AGR000002,2024-07-18,373174.24,EUR
AGR000002,2024-07-25,367842.27,EUR
AGR000002,2024-08-01,366287.91,EUR
AGR000002,2024-08-08,366723.05,EUR
AGR000002,2024-08-15,365257.81,EUR
AGR000002,2024-08-22,364266.58,EUR
AGR000002,2024-08-29,364194.09,EUR
AGR000002,2024-09-05,361805.91,EUR
AGR000002,2024-09-12,364306.22,EUR
AGR000002,2024-09-19,369537.57,EUR
AGR000002,2024-09-26,367821.51,EUR
AGR000002,2024-10-03,369606.18,EUR
AGR000002,2024-10-10,368720.54,EUR
AGR000002,2024-10-17,370068.16,EUR
AGR000002,2024-10-24,375862.62,EUR
AGR000002,2024-10-31,377774.48,EUR
AGR000002,2024-11-07,371074.97,EUR
AGR000002,2024-11-14,372759.63,EUR
AGR000002,2024-11-21,377355.25,EUR
AGR000002,2024-11-28,376519.05,EUR
AGR000002,2024-12-05,380267.8,EUR
AGR000002,2024-12-12,377643.51,EUR
AGR000002,2024-12-19,372033.47,EUR
AGR000002,2024-12-26,372558.67,EUR
AGR000002,2025-01-02,366014.76,EUR
AGR000002,2025-01-09,365137.16,EUR
AGR000002,2025-01-16,369835.9,EUR
AGR000002,2025-01-23,362772.91,EUR
AGR000002,2025-01-30,358131.25,EUR
AGR000002,2025-02-06,354435.22,EUR
AGR000002,2025-02-13,354210.79,EUR
AGR000002,2025-02-20,352915.38,EUR
AGR000002,2025-02-27,357853.15,EUR
AGR000002,2025-03-06,361268.31,EUR
AGR000002,2025-03-13,363057.58,EUR
AGR000002,2025-03-20,363586.3,EUR
AGR000002,2025-03-27,365016.03,EUR
AGR000002,2025-04-03,361869.66,EUR
AGR000002,2025-04-10,364971.64,EUR
AGR000002,2025-04-17,360912.99,EUR
AGR000002,2025-04-24,363927.98,EUR
AGR000002,2025-05-01,368244.68,EUR
AGR000002,2025-05-08,369021.18,EUR
AGR000002,2025-05-15,368370.92,EUR
AGR000002,2025-05-22,369845.54,EUR
AGR000002,2025-05-29,359262.34,EUR
AGR000002,2025-06-05,360348.24,EUR
AGR000002,2025-06-12,359939.77,EUR
AGR000002,2025-06-19,359757.54,EUR
AGR000002,2025-06-26,362299.35,EUR
AGR000002,2025-07-03,362028.46,EUR
AGR000002,2025-07-10,357900.59,EUR
AGR000002,2025-07-17,357394.51,EUR
AGR000002,2025-07-24,357635.95,EUR
AGR000002,2025-07-31,358046.99,EUR
AGR000002,2025-08-07,358626.74,EUR
AGR000002,2025-08-14,362354.19,EUR
AGR000002,2025-08-21,358418.9,EUR
AGR000002,2025-08-28,359048.65,EUR
AGR000002,2025-09-04,363680.12,EUR
AGR000002,2025-09-11,357371.68,EUR
AGR000002,2025-09-18,358013.69,EUR
AGR000002,2025-09-25,355917.95,EUR
AGR000002,2025-10-02,354598.53,EUR
AGR000002,2025-10-09,351390.1,EUR
AGR000002,2025-10-16,350794.31,EUR
AGR000002,2025-10-23,357253.33,EUR
AGR000002,2025-10-30,352736.11,EUR
AGR000002,2025-11-06,348610.47,EUR
AGR000002,2025-11-13,344071.79,EUR
AGR000002,2025-11-20,350015.35,EUR
AGR000002,2025-11-27,348397.09,EUR
AGR000002,2025-12-04,348307.77,EUR
AGR000002,2025-12-11,346904.84,EUR
AGR000002,2025-12-18,343628.59,EUR
AGR000002,2025-12-25,342820.55,EUR
AGR000002,2026-01-01,351247.91,EUR
AGR000002,2026-01-08,356137.53,EUR
AGR000002,2026-01-15,353099.9,EUR
AGR000002,2026-01-22,355386.49,EUR
AGR000002,2026-01-29,352431.37,EUR
AGR000002,2026-02-05,346170.89,EUR
AGR000002,2026-02-12,349700.14,EUR
AGR000002,2026-02-19,353756.99,EUR
AGR000002,2026-02-26,357457.47,EUR
AGR000002,2026-03-05,355777.9,EUR
AGR000002,2026-03-12,355184.55,EUR
AGR000002,2026-03-19,357847.6,EUR
AGR000002,2026-03-26,359248.56,EUR
AGR000002,2026-04-02,357834.42,EUR
AGR000002,2026-04-09,352040.83,EUR
AGR000002,2026-04-16,352441.71,EUR
AGR000002,2026-04-23,356244.59,EUR
AGR000002,2026-04-30,351978.25,EUR
AGR000002,2026-05-07,354226.54,EUR
AGR000002,2026-05-14,355400.95,EUR
AGR000002,2026-05-21,358066.99,EUR
AGR000002,2026-05-28,361189.24,EUR
AGR000002,2026-06-04,358680.91,EUR
AGR000002,2026-06-11,352881.19,EUR
AGR000002,2026-06-18,350998.5,EUR
AGR000002,2026-06-25,354119.32,EUR
AGR000003,2022-06-30,294796.83,EUR
AGR000003,2022-07-07,300563.91,EUR
