PRTY_ID,COUNTRY_CD
PRTY00194,PT
PRTY00195,FR
PRTY00196,BE
PRTY00197,DE
PRTY00198,NL
PRTY00199,PT
PRTY00200,BE
PRTY00201,IE
PRTY00202,FR
PRTY00203,BE
PRTY00204,PL
PRTY00205,NL
PRTY00206,FR
PRTY00207,PL
PRTY00208,FR
PRTY00209,BE
PRTY00210,IE
PRTY00211,DE
PRTY00212,FR
PRTY00213,DE
PRTY00214,FR
PRTY00215,DE
PRTY00216,ES
PRTY00217,DE
PRTY00218,ES
PRTY00219,FR
PRTY00220,FR
PRTY00221,FR
PRTY00222,IT
PRTY00223,NL
PRTY00224,FR
PRTY00225,PL
PRTY00226,ES
PRTY00227,DE
PRTY00228,AT
PRTY00229,FR
PRTY00230,DE
PRTY00231,NL
PRTY00232,DE
PRTY00233,FR
PRTY00234,IT
PRTY00235,DE
PRTY00236,PL
PRTY00237,PT
PRTY00238,ES
PRTY00239,IT
PRTY00240,IT
PRTY00241,IE
PRTY00242,FR
PRTY00243,DE
PRTY00244,BE
PRTY00245,BE
PRTY00246,DE
PRTY00247,ES
PRTY00248,DE
PRTY00249,AT
PRTY00250,FR
PRTY00251,DE
PRTY00252,DE
PRTY00253,FR
PRTY00254,FR
PRTY00255,DE
PRTY00256,FR
PRTY00257,DE
PRTY00258,FR
PRTY00259,FR
PRTY00260,FR
PRTY00261,FR
PRTY00262,DE
PRTY00263,DE
PRTY00264,DE
PRTY00265,IT
PRTY00266,IE
PRTY00267,AT
PRTY00268,BE
PRTY00269,BE
PRTY00270,FR
PRTY00271,IT
PRTY00272,IT
PRTY00273,PL
PRTY00274,AT
PRTY00275,NL
PRTY00276,IT
PRTY00277,PL
PRTY00278,FR
PRTY00279,AT
PRTY00280,DE
PRTY00281,IE
PRTY00282,IT
PRTY00283,DE
PRTY00284,ES
PRTY00285,DE
PRTY00286,IT
PRTY00287,IT
PRTY00288,ES
PRTY00289,PL
PRTY00290,DE
PRTY00291,FR
PRTY00292,NL
PRTY00293,DE
PRTY00294,NL
PRTY00295,FR
PRTY00296,FR
PRTY00297,NL
PRTY00298,PL
PRTY00299,FR
