PRTY_ID,AGRMNT_ID,PRTY_AGRMNT_ROLE_CD
PRTY00074,AGR000124,BOR
PRTY00074,AGR000125,BOR
PRTY00075,AGR000126,BOR
PRTY00076,AGR000127,BOR
PRTY00076,AGR000128,BOR
PRTY00077,AGR000129,BOR
PRTY00078,AGR000130,BOR
PRTY00078,AGR000131,BOR
PRTY00078,AGR000132,BOR
PRTY00079,AGR000133,BOR
PRTY00080,AGR000134,BOR
PRTY00080,AGR000135,BOR
PRTY00081,AGR000136,BOR
PRTY00081,AGR000137,BOR
PRTY00082,AGR000138,BOR
PRTY00083,AGR000139,BOR
PRTY00083,AGR000140,BOR
PRTY00083,AGR000141,BOR
PRTY00084,AGR000142,BOR
PRTY00085,AGR000143,BOR
PRTY00085,AGR000144,BOR
PRTY00086,AGR000145,BOR
PRTY00086,AGR000146,BOR
PRTY00087,AGR000147,BOR
PRTY00088,AGR000148,BOR
PRTY00088,AGR000149,BOR
PRTY00089,AGR000150,BOR
PRTY00090,AGR000151,BOR
PRTY00090,AGR000152,BOR
PRTY00090,AGR000153,BOR
PRTY00091,AGR000154,BOR
PRTY00091,AGR000155,BOR
PRTY00092,AGR000156,BOR
PRTY00092,AGR000157,BOR
PRTY00093,AGR000158,BOR
PRTY00094,AGR000159,BOR
PRTY00094,AGR000160,BOR
PRTY00095,AGR000161,BOR
PRTY00095,AGR000162,BOR
PRTY00096,AGR000163,BOR
PRTY00096,AGR000164,BOR
PRTY00097,AGR000165,BOR
PRTY00097,AGR000166,BOR
PRTY00098,AGR000167,BOR
PRTY00098,AGR000168,BOR
PRTY00098,AGR000169,BOR
PRTY00099,AGR000170,BOR
PRTY00100,AGR000171,BOR
PRTY00101,AGR000172,BOR
PRTY00102,AGR000173,BOR
PRTY00102,AGR000174,BOR
PRTY00103,AGR000175,BOR
PRTY00103,AGR000176,BOR
PRTY00104,AGR000177,BOR
PRTY00105,AGR000178,BOR
PRTY00106,AGR000179,BOR
PRTY00107,AGR000180,BOR
PRTY00107,AGR000181,BOR
PRTY00108,AGR000182,BOR
PRTY00109,AGR000183,BOR
PRTY00109,AGR000184,BOR
PRTY00110,AGR000185,BOR
PRTY00110,AGR000186,BOR
PRTY00111,AGR000187,BOR
PRTY00111,AGR000188,BOR
PRTY00112,AGR000189,BOR
PRTY00112,AGR000190,BOR
PRTY00113,AGR000191,BOR
PRTY00113,AGR000192,BOR
PRTY00114,AGR000193,BOR
PRTY00114,AGR000194,BOR
PRTY00115,AGR000195,BOR
PRTY00116,AGR000196,BOR
PRTY00117,AGR000197,BOR
PRTY00118,AGR000198,BOR
PRTY00118,AGR000199,BOR
PRTY00119,AGR000200,BOR
PRTY00120,AGR000201,BOR
PRTY00120,AGR000202,BOR
PRTY00121,AGR000203,BOR
PRTY00121,AGR000204,BOR
PRTY00122,AGR000205,BOR
PRTY00122,AGR000206,BOR
PRTY00123,AGR000207,BOR
PRTY00123,AGR000208,BOR
PRTY00124,AGR000209,BOR
PRTY00124,AGR000210,BOR
PRTY00125,AGR000211,BOR
PRTY00126,AGR000212,BOR
PRTY00127,AGR000213,BOR
PRTY00127,AGR000214,BOR
PRTY00127,AGR000215,BOR
PRTY00128,AGR000216,BOR
PRTY00128,AGR000217,BOR
PRTY00129,AGR000218,BOR
PRTY00130,AGR000219,BOR
PRTY00130,AGR000220,BOR
PRTY00131,AGR000221,BOR
PRTY00131,AGR000222,BOR
PRTY00132,AGR000223,BOR
PRTY00133,AGR000224,BOR
PRTY00134,AGR000225,BOR
PRTY00134,AGR000226,BOR
PRTY00135,AGR000227,BOR
PRTY00136,AGR000228,BOR
PRTY00137,AGR000229,BOR
PRTY00137,AGR000230,BOR
PRTY00138,AGR000231,BOR
PRTY00139,AGR000232,BOR
PRTY00139,AGR000233,BOR
PRTY00140,AGR000234,BOR
PRTY00140,AGR000235,BOR
PRTY00141,AGR000236,BOR
PRTY00142,AGR000237,BOR
PRTY00143,AGR000238,BOR
PRTY00143,AGR000239,BOR
PRTY00144,AGR000240,BOR
PRTY00144,AGR000241,BOR
PRTY00144,AGR000242,BOR
PRTY00145,AGR000243,BOR
PRTY00146,AGR000244,BOR
PRTY00146,AGR000245,BOR
PRTY00147,AGR000246,BOR
PRTY00147,AGR000247,BOR
PRTY00148,AGR000248,BOR
PRTY00148,AGR000249,BOR
PRTY00149,AGR000250,BOR
PRTY00149,AGR000251,BOR
PRTY00150,AGR000252,BOR
PRTY00150,AGR000253,BOR
PRTY00151,AGR000254,BOR
PRTY00152,AGR000255,BOR
PRTY00152,AGR000256,BOR
PRTY00152,AGR000257,BOR
PRTY00153,AGR000258,BOR
PRTY00153,AGR000259,BOR
PRTY00154,AGR000260,BOR
PRTY00154,AGR000261,BOR
PRTY00154,AGR000262,BOR
PRTY00155,AGR000263,BOR
PRTY00156,AGR000264,BOR
PRTY00156,AGR000265,BOR
PRTY00157,AGR000266,BOR
PRTY00157,AGR000267,BOR
PRTY00158,AGR000268,BOR
PRTY00158,AGR000269,BOR
PRTY00158,AGR000270,BOR
PRTY00159,AGR000271,BOR
PRTY00159,AGR000272,BOR
PRTY00160,AGR000273,BOR
PRTY00160,AGR000274,BOR
PRTY00160,AGR000275,BOR
PRTY00161,AGR000276,BOR
PRTY00162,AGR000277,BOR
PRTY00163,AGR000278,BOR
PRTY00164,AGR000279,BOR
PRTY00165,AGR000280,BOR
PRTY00166,AGR000281,BOR
PRTY00166,AGR000282,BOR
PRTY00166,AGR000283,BOR
PRTY00167,AGR000284,BOR
PRTY00167,AGR000285,BOR
PRTY00168,AGR000286,BOR
PRTY00169,AGR000287,BOR
PRTY00169,AGR000288,BOR
PRTY00170,AGR000289,BOR
PRTY00170,AGR000290,BOR
PRTY00171,AGR000291,BOR
PRTY00172,AGR000292,BOR
PRTY00172,AGR000293,BOR
PRTY00173,AGR000294,BOR
PRTY00173,AGR000295,BOR
PRTY00174,AGR000296,BOR
PRTY00175,AGR000297,BOR
PRTY00175,AGR000298,BOR
PRTY00176,AGR000299,BOR
PRTY00177,AGR000300,BOR
PRTY00177,AGR000301,BOR
PRTY00178,AGR000302,BOR
PRTY00178,AGR000303,BOR
PRTY00179,AGR000304,BOR
PRTY00180,AGR000305,BOR
PRTY00181,AGR000306,BOR
PRTY00182,AGR000307,BOR
PRTY00183,AGR000308,BOR
PRTY00183,AGR000309,BOR
PRTY00184,AGR000310,BOR
PRTY00184,AGR000311,BOR
PRTY00185,AGR000312,BOR
PRTY00185,AGR000313,BOR
PRTY00185,AGR000314,BOR
PRTY00186,AGR000315,BOR
PRTY00186,AGR000316,BOR
PRTY00187,AGR000317,BOR
PRTY00187,AGR000318,BOR
PRTY00188,AGR000319,BOR
PRTY00189,AGR000320,BOR
PRTY00189,AGR000321,BOR
PRTY00189,AGR000322,BOR
PRTY00190,AGR000323,BOR
PRTY00190,AGR000324,BOR
PRTY00191,AGR000325,BOR
PRTY00191,AGR000326,BOR
PRTY00192,AGR000327,BOR
PRTY00193,AGR000328,BOR
PRTY00193,AGR000329,BOR
PRTY00194,AGR000330,BOR
PRTY00195,AGR000331,BOR
PRTY00195,AGR000332,BOR
PRTY00196,AGR000333,BOR
PRTY00196,AGR000334,BOR
PRTY00197,AGR000335,BOR
PRTY00197,AGR000336,BOR
PRTY00198,AGR000337,BOR
PRTY00199,AGR000338,BOR
PRTY00199,AGR000339,BOR
PRTY00200,AGR000340,BOR
PRTY00200,AGR000341,BOR
PRTY00201,AGR000342,BOR
PRTY00201,AGR000343,BOR
PRTY00202,AGR000344,BOR
PRTY00203,AGR000345,BOR
PRTY00203,AGR000346,BOR
PRTY00203,AGR000347,BOR
PRTY00204,AGR000348,BOR
PRTY00204,AGR000349,BOR
PRTY00205,AGR000350,BOR
PRTY00205,AGR000351,BOR
PRTY00206,AGR000352,BOR
PRTY00206,AGR000353,BOR
PRTY00207,AGR000354,BOR
PRTY00207,AGR000355,BOR
PRTY00208,AGR000356,BOR
PRTY00209,AGR000357,BOR
PRTY00210,AGR000358,BOR
PRTY00210,AGR000359,BOR
PRTY00211,AGR000360,BOR
PRTY00211,AGR000361,BOR
PRTY00212,AGR000362,BOR
PRTY00213,AGR000363,BOR
PRTY00214,AGR000364,BOR
PRTY00214,AGR000365,BOR
PRTY00215,AGR000366,BOR
PRTY00216,AGR000367,BOR
PRTY00217,AGR000368,BOR
PRTY00217,AGR000369,BOR
PRTY00218,AGR000370,BOR
PRTY00218,AGR000371,BOR
PRTY00219,AGR000372,BOR
PRTY00219,AGR000373,BOR
PRTY00220,AGR000374,BOR
PRTY00221,AGR000375,BOR
PRTY00222,AGR000376,BOR
PRTY00222,AGR000377,BOR
PRTY00223,AGR000378,BOR
PRTY00224,AGR000379,BOR
PRTY00225,AGR000380,BOR
PRTY00225,AGR000381,BOR
PRTY00226,AGR000382,BOR
PRTY00226,AGR000383,BOR
PRTY00227,AGR000384,BOR
PRTY00227,AGR000385,BOR
PRTY00228,AGR000386,BOR
PRTY00229,AGR000387,BOR
PRTY00229,AGR000388,BOR
PRTY00230,AGR000389,BOR
PRTY00230,AGR000390,BOR
PRTY00231,AGR000391,BOR
PRTY00231,AGR000392,BOR
PRTY00232,AGR000393,BOR
PRTY00232,AGR000394,BOR
PRTY00233,AGR000395,BOR
PRTY00234,AGR000396,BOR
PRTY00234,AGR000397,BOR
PRTY00235,AGR000398,BOR
PRTY00236,AGR000399,BOR
PRTY00236,AGR000400,BOR
PRTY00237,AGR000401,BOR
PRTY00237,AGR000402,BOR
PRTY00237,AGR000403,BOR
PRTY00238,AGR000404,BOR
PRTY00238,AGR000405,BOR
PRTY00239,AGR000406,BOR
PRTY00239,AGR000407,BOR
PRTY00240,AGR000408,BOR
PRTY00240,AGR000409,BOR
PRTY00241,AGR000410,BOR
PRTY00242,AGR000411,BOR
PRTY00242,AGR000412,BOR
PRTY00243,AGR000413,BOR
PRTY00244,AGR000414,BOR
PRTY00244,AGR000415,BOR
PRTY00245,AGR000416,BOR
PRTY00246,AGR000417,BOR
PRTY00247,AGR000418,BOR
PRTY00248,AGR000419,BOR
PRTY00248,AGR000420,BOR
PRTY00248,AGR000421,BOR
PRTY00249,AGR000422,BOR
PRTY00249,AGR000423,BOR
PRTY00250,AGR000424,BOR
PRTY00250,AGR000425,BOR
PRTY00251,AGR000426,BOR
PRTY00251,AGR000427,BOR
PRTY00252,AGR000428,BOR
PRTY00252,AGR000429,BOR
PRTY00253,AGR000430,BOR
PRTY00253,AGR000431,BOR
PRTY00254,AGR000432,BOR
PRTY00254,AGR000433,BOR
PRTY00254,AGR000434,BOR
PRTY00255,AGR000435,BOR
PRTY00255,AGR000436,BOR
PRTY00256,AGR000437,BOR
PRTY00256,AGR000438,BOR
PRTY00256,AGR000439,BOR
PRTY00257,AGR000440,BOR
PRTY00257,AGR000441,BOR
PRTY00258,AGR000442,BOR
PRTY00259,AGR000443,BOR
PRTY00260,AGR000444,BOR
PRTY00260,AGR000445,BOR
PRTY00261,AGR000446,BOR
PRTY00261,AGR000447,BOR
PRTY00262,AGR000448,BOR
PRTY00262,AGR000449,BOR
PRTY00263,AGR000450,BOR
PRTY00263,AGR000451,BOR
PRTY00264,AGR000452,BOR
PRTY00264,AGR000453,BOR
PRTY00265,AGR000454,BOR
PRTY00265,AGR000455,BOR
PRTY00266,AGR000456,BOR
PRTY00266,AGR000457,BOR
PRTY00267,AGR000458,BOR
PRTY00268,AGR000459,BOR
PRTY00268,AGR000460,BOR
PRTY00268,AGR000461,BOR
PRTY00269,AGR000462,BOR
PRTY00269,AGR000463,BOR
PRTY00270,AGR000464,BOR
PRTY00270,AGR000465,BOR
PRTY00271,AGR000466,BOR
PRTY00271,AGR000467,BOR
PRTY00272,AGR000468,BOR
PRTY00272,AGR000469,BOR
PRTY00273,AGR000470,BOR
PRTY00274,AGR000471,BOR
PRTY00274,AGR000472,BOR
PRTY00275,AGR000473,BOR
PRTY00275,AGR000474,BOR
PRTY00275,AGR000475,BOR
PRTY00276,AGR000476,BOR
PRTY00276,AGR000477,BOR
PRTY00277,AGR000478,BOR
PRTY00277,AGR000479,BOR
PRTY00278,AGR000480,BOR
PRTY00278,AGR000481,BOR
PRTY00279,AGR000482,BOR
PRTY00280,AGR000483,BOR
PRTY00280,AGR000484,BOR
PRTY00280,AGR000485,BOR
PRTY00281,AGR000486,BOR
PRTY00282,AGR000487,BOR
PRTY00283,AGR000488,BOR
PRTY00284,AGR000489,BOR
PRTY00284,AGR000490,BOR
PRTY00285,AGR000491,BOR
PRTY00286,AGR000492,BOR
PRTY00286,AGR000493,BOR
PRTY00287,AGR000494,BOR
PRTY00287,AGR000495,BOR
PRTY00288,AGR000496,BOR
PRTY00289,AGR000497,BOR
PRTY00289,AGR000498,BOR
PRTY00290,AGR000499,BOR
PRTY00291,AGR000500,BOR
PRTY00292,AGR000501,BOR
PRTY00292,AGR000502,BOR
PRTY00293,AGR000503,BOR
PRTY00294,AGR000504,BOR
PRTY00294,AGR000505,BOR
PRTY00295,AGR000506,BOR
PRTY00296,AGR000507,BOR
PRTY00297,AGR000508,BOR
PRTY00297,AGR000509,BOR
PRTY00298,AGR000510,BOR
PRTY00299,AGR000511,BOR
PRTY00299,AGR000512,BOR
PRTY00299,AGR000513,BOR
